"X." "Name" "Type.1" "Type.2" "Total" "HP" "Attack" "Defense" "Sp..Atk" "Sp..Def" "Speed" "Generation" "Legendary"
"316" 291 "Ninjask" "Bug" "Flying" 456 61 90 45 50 50 160 3 FALSE
"317" 292 "Shedinja" "Bug" "Ghost" 236 1 90 45 30 30 40 3 FALSE
"318" 293 "Whismur" "Normal" NA 240 64 51 23 51 23 28 3 FALSE
"319" 294 "Loudred" "Normal" NA 360 84 71 43 71 43 48 3 FALSE
"320" 295 "Exploud" "Normal" NA 490 104 91 63 91 73 68 3 FALSE
"321" 296 "Makuhita" "Fighting" NA 237 72 60 30 20 30 25 3 FALSE
"322" 297 "Hariyama" "Fighting" NA 474 144 120 60 40 60 50 3 FALSE
"323" 298 "Azurill" "Normal" "Fairy" 190 50 20 40 20 40 20 3 FALSE
"324" 299 "Nosepass" "Rock" NA 375 30 45 135 45 90 30 3 FALSE
"325" 300 "Skitty" "Normal" NA 260 50 45 45 35 35 50 3 FALSE
"326" 301 "Delcatty" "Normal" NA 380 70 65 65 55 55 70 3 FALSE
"327" 302 "Sableye" "Dark" "Ghost" 380 50 75 75 65 65 50 3 FALSE
"328" 302 "SableyeMega Sableye" "Dark" "Ghost" 480 50 85 125 85 115 20 3 FALSE
"329" 303 "Mawile" "Steel" "Fairy" 380 50 85 85 55 55 50 3 FALSE
"330" 303 "MawileMega Mawile" "Steel" "Fairy" 480 50 105 125 55 95 50 3 FALSE
"331" 304 "Aron" "Steel" "Rock" 330 50 70 100 40 40 30 3 FALSE
"332" 305 "Lairon" "Steel" "Rock" 430 60 90 140 50 50 40 3 FALSE
"333" 306 "Aggron" "Steel" "Rock" 530 70 110 180 60 60 50 3 FALSE
"334" 306 "AggronMega Aggron" "Steel" NA 630 70 140 230 60 80 50 3 FALSE
"335" 307 "Meditite" "Fighting" "Psychic" 280 30 40 55 40 55 60 3 FALSE
"336" 308 "Medicham" "Fighting" "Psychic" 410 60 60 75 60 75 80 3 FALSE
"337" 308 "MedichamMega Medicham" "Fighting" "Psychic" 510 60 100 85 80 85 100 3 FALSE
"338" 309 "Electrike" "Electric" NA 295 40 45 40 65 40 65 3 FALSE
"339" 310 "Manectric" "Electric" NA 475 70 75 60 105 60 105 3 FALSE
"340" 310 "ManectricMega Manectric" "Electric" NA 575 70 75 80 135 80 135 3 FALSE
"341" 311 "Plusle" "Electric" NA 405 60 50 40 85 75 95 3 FALSE
"342" 312 "Minun" "Electric" NA 405 60 40 50 75 85 95 3 FALSE
"343" 313 "Volbeat" "Bug" NA 400 65 73 55 47 75 85 3 FALSE
"344" 314 "Illumise" "Bug" NA 400 65 47 55 73 75 85 3 FALSE
"345" 315 "Roselia" "Grass" "Poison" 400 50 60 45 100 80 65 3 FALSE
"346" 316 "Gulpin" "Poison" NA 302 70 43 53 43 53 40 3 FALSE
"347" 317 "Swalot" "Poison" NA 467 100 73 83 73 83 55 3 FALSE
"348" 318 "Carvanha" "Water" "Dark" 305 45 90 20 65 20 65 3 FALSE
"349" 319 "Sharpedo" "Water" "Dark" 460 70 120 40 95 40 95 3 FALSE
"350" 319 "SharpedoMega Sharpedo" "Water" "Dark" 560 70 140 70 110 65 105 3 FALSE
"351" 320 "Wailmer" "Water" NA 400 130 70 35 70 35 60 3 FALSE
"352" 321 "Wailord" "Water" NA 500 170 90 45 90 45 60 3 FALSE
"353" 322 "Numel" "Fire" "Ground" 305 60 60 40 65 45 35 3 FALSE
"354" 323 "Camerupt" "Fire" "Ground" 460 70 100 70 105 75 40 3 FALSE
"355" 323 "CameruptMega Camerupt" "Fire" "Ground" 560 70 120 100 145 105 20 3 FALSE
"356" 324 "Torkoal" "Fire" NA 470 70 85 140 85 70 20 3 FALSE
"357" 325 "Spoink" "Psychic" NA 330 60 25 35 70 80 60 3 FALSE
"358" 326 "Grumpig" "Psychic" NA 470 80 45 65 90 110 80 3 FALSE
"359" 327 "Spinda" "Normal" NA 360 60 60 60 60 60 60 3 FALSE
"360" 328 "Trapinch" "Ground" NA 290 45 100 45 45 45 10 3 FALSE
"361" 329 "Vibrava" "Ground" "Dragon" 340 50 70 50 50 50 70 3 FALSE
"362" 330 "Flygon" "Ground" "Dragon" 520 80 100 80 80 80 100 3 FALSE
"363" 331 "Cacnea" "Grass" NA 335 50 85 40 85 40 35 3 FALSE
"364" 332 "Cacturne" "Grass" "Dark" 475 70 115 60 115 60 55 3 FALSE
"365" 333 "Swablu" "Normal" "Flying" 310 45 40 60 40 75 50 3 FALSE
"366" 334 "Altaria" "Dragon" "Flying" 490 75 70 90 70 105 80 3 FALSE
"367" 334 "AltariaMega Altaria" "Dragon" "Fairy" 590 75 110 110 110 105 80 3 FALSE
"368" 335 "Zangoose" "Normal" NA 458 73 115 60 60 60 90 3 FALSE
"369" 336 "Seviper" "Poison" NA 458 73 100 60 100 60 65 3 FALSE
"370" 337 "Lunatone" "Rock" "Psychic" 440 70 55 65 95 85 70 3 FALSE
"371" 338 "Solrock" "Rock" "Psychic" 440 70 95 85 55 65 70 3 FALSE
"372" 339 "Barboach" "Water" "Ground" 288 50 48 43 46 41 60 3 FALSE
"373" 340 "Whiscash" "Water" "Ground" 468 110 78 73 76 71 60 3 FALSE
"374" 341 "Corphish" "Water" NA 308 43 80 65 50 35 35 3 FALSE
"375" 342 "Crawdaunt" "Water" "Dark" 468 63 120 85 90 55 55 3 FALSE
"376" 343 "Baltoy" "Ground" "Psychic" 300 40 40 55 40 70 55 3 FALSE
"377" 344 "Claydol" "Ground" "Psychic" 500 60 70 105 70 120 75 3 FALSE
"378" 345 "Lileep" "Rock" "Grass" 355 66 41 77 61 87 23 3 FALSE
"379" 346 "Cradily" "Rock" "Grass" 495 86 81 97 81 107 43 3 FALSE
"380" 347 "Anorith" "Rock" "Bug" 355 45 95 50 40 50 75 3 FALSE
"381" 348 "Armaldo" "Rock" "Bug" 495 75 125 100 70 80 45 3 FALSE
"382" 349 "Feebas" "Water" NA 200 20 15 20 10 55 80 3 FALSE
"383" 350 "Milotic" "Water" NA 540 95 60 79 100 125 81 3 FALSE
"384" 351 "Castform" "Normal" NA 420 70 70 70 70 70 70 3 FALSE
"385" 352 "Kecleon" "Normal" NA 440 60 90 70 60 120 40 3 FALSE
"386" 353 "Shuppet" "Ghost" NA 295 44 75 35 63 33 45 3 FALSE
"387" 354 "Banette" "Ghost" NA 455 64 115 65 83 63 65 3 FALSE
"388" 354 "BanetteMega Banette" "Ghost" NA 555 64 165 75 93 83 75 3 FALSE
"389" 355 "Duskull" "Ghost" NA 295 20 40 90 30 90 25 3 FALSE
"390" 356 "Dusclops" "Ghost" NA 455 40 70 130 60 130 25 3 FALSE
"391" 357 "Tropius" "Grass" "Flying" 460 99 68 83 72 87 51 3 FALSE
"392" 358 "Chimecho" "Psychic" NA 425 65 50 70 95 80 65 3 FALSE
"393" 359 "Absol" "Dark" NA 465 65 130 60 75 60 75 3 FALSE
"394" 359 "AbsolMega Absol" "Dark" NA 565 65 150 60 115 60 115 3 FALSE
"395" 360 "Wynaut" "Psychic" NA 260 95 23 48 23 48 23 3 FALSE
"396" 361 "Snorunt" "Ice" NA 300 50 50 50 50 50 50 3 FALSE
"397" 362 "Glalie" "Ice" NA 480 80 80 80 80 80 80 3 FALSE
"398" 362 "GlalieMega Glalie" "Ice" NA 580 80 120 80 120 80 100 3 FALSE
"399" 363 "Spheal" "Ice" "Water" 290 70 40 50 55 50 25 3 FALSE
"400" 364 "Sealeo" "Ice" "Water" 410 90 60 70 75 70 45 3 FALSE
"401" 365 "Walrein" "Ice" "Water" 530 110 80 90 95 90 65 3 FALSE
"402" 366 "Clamperl" "Water" NA 345 35 64 85 74 55 32 3 FALSE
"403" 367 "Huntail" "Water" NA 485 55 104 105 94 75 52 3 FALSE
"404" 368 "Gorebyss" "Water" NA 485 55 84 105 114 75 52 3 FALSE
"405" 369 "Relicanth" "Water" "Rock" 485 100 90 130 45 65 55 3 FALSE
"406" 370 "Luvdisc" "Water" NA 330 43 30 55 40 65 97 3 FALSE
"407" 371 "Bagon" "Dragon" NA 300 45 75 60 40 30 50 3 FALSE
"408" 372 "Shelgon" "Dragon" NA 420 65 95 100 60 50 50 3 FALSE
"409" 373 "Salamence" "Dragon" "Flying" 600 95 135 80 110 80 100 3 FALSE
"410" 373 "SalamenceMega Salamence" "Dragon" "Flying" 700 95 145 130 120 90 120 3 FALSE
"411" 374 "Beldum" "Steel" "Psychic" 300 40 55 80 35 60 30 3 FALSE
"412" 375 "Metang" "Steel" "Psychic" 420 60 75 100 55 80 50 3 FALSE
"413" 376 "Metagross" "Steel" "Psychic" 600 80 135 130 95 90 70 3 FALSE
"414" 376 "MetagrossMega Metagross" "Steel" "Psychic" 700 80 145 150 105 110 110 3 FALSE
"415" 377 "Regirock" "Rock" NA 580 80 100 200 50 100 50 3 TRUE
"416" 378 "Regice" "Ice" NA 580 80 50 100 100 200 50 3 TRUE
"417" 379 "Registeel" "Steel" NA 580 80 75 150 75 150 50 3 TRUE
"418" 380 "Latias" "Dragon" "Psychic" 600 80 80 90 110 130 110 3 TRUE
"419" 380 "LatiasMega Latias" "Dragon" "Psychic" 700 80 100 120 140 150 110 3 TRUE
"420" 381 "Latios" "Dragon" "Psychic" 600 80 90 80 130 110 110 3 TRUE
"421" 381 "LatiosMega Latios" "Dragon" "Psychic" 700 80 130 100 160 120 110 3 TRUE
"422" 382 "Kyogre" "Water" NA 670 100 100 90 150 140 90 3 TRUE
"423" 382 "KyogrePrimal Kyogre" "Water" NA 770 100 150 90 180 160 90 3 TRUE
"424" 383 "Groudon" "Ground" NA 670 100 150 140 100 90 90 3 TRUE
"425" 383 "GroudonPrimal Groudon" "Ground" "Fire" 770 100 180 160 150 90 90 3 TRUE
"426" 384 "Rayquaza" "Dragon" "Flying" 680 105 150 90 150 90 95 3 TRUE
"427" 384 "RayquazaMega Rayquaza" "Dragon" "Flying" 780 105 180 100 180 100 115 3 TRUE
"428" 385 "Jirachi" "Steel" "Psychic" 600 100 100 100 100 100 100 3 TRUE
"429" 386 "DeoxysNormal Forme" "Psychic" NA 600 50 150 50 150 50 150 3 TRUE
"430" 386 "DeoxysAttack Forme" "Psychic" NA 600 50 180 20 180 20 150 3 TRUE
"431" 386 "DeoxysDefense Forme" "Psychic" NA 600 50 70 160 70 160 90 3 TRUE
"432" 386 "DeoxysSpeed Forme" "Psychic" NA 600 50 95 90 95 90 180 3 TRUE
"433" 387 "Turtwig" "Grass" NA 318 55 68 64 45 55 31 4 FALSE
"434" 388 "Grotle" "Grass" NA 405 75 89 85 55 65 36 4 FALSE
"435" 389 "Torterra" "Grass" "Ground" 525 95 109 105 75 85 56 4 FALSE
"436" 390 "Chimchar" "Fire" NA 309 44 58 44 58 44 61 4 FALSE
"437" 391 "Monferno" "Fire" "Fighting" 405 64 78 52 78 52 81 4 FALSE
"438" 392 "Infernape" "Fire" "Fighting" 534 76 104 71 104 71 108 4 FALSE
"439" 393 "Piplup" "Water" NA 314 53 51 53 61 56 40 4 FALSE
"440" 394 "Prinplup" "Water" NA 405 64 66 68 81 76 50 4 FALSE
"441" 395 "Empoleon" "Water" "Steel" 530 84 86 88 111 101 60 4 FALSE
"442" 396 "Starly" "Normal" "Flying" 245 40 55 30 30 30 60 4 FALSE
"443" 397 "Staravia" "Normal" "Flying" 340 55 75 50 40 40 80 4 FALSE
"444" 398 "Staraptor" "Normal" "Flying" 485 85 120 70 50 60 100 4 FALSE
"445" 399 "Bidoof" "Normal" NA 250 59 45 40 35 40 31 4 FALSE
"446" 400 "Bibarel" "Normal" "Water" 410 79 85 60 55 60 71 4 FALSE
"447" 401 "Kricketot" "Bug" NA 194 37 25 41 25 41 25 4 FALSE
"448" 402 "Kricketune" "Bug" NA 384 77 85 51 55 51 65 4 FALSE
"449" 403 "Shinx" "Electric" NA 263 45 65 34 40 34 45 4 FALSE
"450" 404 "Luxio" "Electric" NA 363 60 85 49 60 49 60 4 FALSE
"451" 405 "Luxray" "Electric" NA 523 80 120 79 95 79 70 4 FALSE
"452" 406 "Budew" "Grass" "Poison" 280 40 30 35 50 70 55 4 FALSE
"453" 407 "Roserade" "Grass" "Poison" 515 60 70 65 125 105 90 4 FALSE
"454" 408 "Cranidos" "Rock" NA 350 67 125 40 30 30 58 4 FALSE
"455" 409 "Rampardos" "Rock" NA 495 97 165 60 65 50 58 4 FALSE
"456" 410 "Shieldon" "Rock" "Steel" 350 30 42 118 42 88 30 4 FALSE
"457" 411 "Bastiodon" "Rock" "Steel" 495 60 52 168 47 138 30 4 FALSE
"458" 412 "Burmy" "Bug" NA 224 40 29 45 29 45 36 4 FALSE
"459" 413 "WormadamPlant Cloak" "Bug" "Grass" 424 60 59 85 79 105 36 4 FALSE
"460" 413 "WormadamSandy Cloak" "Bug" "Ground" 424 60 79 105 59 85 36 4 FALSE
"461" 413 "WormadamTrash Cloak" "Bug" "Steel" 424 60 69 95 69 95 36 4 FALSE
"462" 414 "Mothim" "Bug" "Flying" 424 70 94 50 94 50 66 4 FALSE
"463" 415 "Combee" "Bug" "Flying" 244 30 30 42 30 42 70 4 FALSE
"464" 416 "Vespiquen" "Bug" "Flying" 474 70 80 102 80 102 40 4 FALSE
"465" 417 "Pachirisu" "Electric" NA 405 60 45 70 45 90 95 4 FALSE
"466" 418 "Buizel" "Water" NA 330 55 65 35 60 30 85 4 FALSE
"467" 419 "Floatzel" "Water" NA 495 85 105 55 85 50 115 4 FALSE
"468" 420 "Cherubi" "Grass" NA 275 45 35 45 62 53 35 4 FALSE
"469" 421 "Cherrim" "Grass" NA 450 70 60 70 87 78 85 4 FALSE
"470" 422 "Shellos" "Water" NA 325 76 48 48 57 62 34 4 FALSE
"471" 423 "Gastrodon" "Water" "Ground" 475 111 83 68 92 82 39 4 FALSE
"472" 424 "Ambipom" "Normal" NA 482 75 100 66 60 66 115 4 FALSE
"473" 425 "Drifloon" "Ghost" "Flying" 348 90 50 34 60 44 70 4 FALSE
"474" 426 "Drifblim" "Ghost" "Flying" 498 150 80 44 90 54 80 4 FALSE
"475" 427 "Buneary" "Normal" NA 350 55 66 44 44 56 85 4 FALSE
"476" 428 "Lopunny" "Normal" NA 480 65 76 84 54 96 105 4 FALSE
"477" 428 "LopunnyMega Lopunny" "Normal" "Fighting" 580 65 136 94 54 96 135 4 FALSE
"478" 429 "Mismagius" "Ghost" NA 495 60 60 60 105 105 105 4 FALSE
"479" 430 "Honchkrow" "Dark" "Flying" 505 100 125 52 105 52 71 4 FALSE
"480" 431 "Glameow" "Normal" NA 310 49 55 42 42 37 85 4 FALSE
"481" 432 "Purugly" "Normal" NA 452 71 82 64 64 59 112 4 FALSE
"482" 433 "Chingling" "Psychic" NA 285 45 30 50 65 50 45 4 FALSE
"483" 434 "Stunky" "Poison" "Dark" 329 63 63 47 41 41 74 4 FALSE
"484" 435 "Skuntank" "Poison" "Dark" 479 103 93 67 71 61 84 4 FALSE
"485" 436 "Bronzor" "Steel" "Psychic" 300 57 24 86 24 86 23 4 FALSE
"486" 437 "Bronzong" "Steel" "Psychic" 500 67 89 116 79 116 33 4 FALSE
"487" 438 "Bonsly" "Rock" NA 290 50 80 95 10 45 10 4 FALSE
"488" 439 "Mime Jr." "Psychic" "Fairy" 310 20 25 45 70 90 60 4 FALSE
"489" 440 "Happiny" "Normal" NA 220 100 5 5 15 65 30 4 FALSE
"490" 441 "Chatot" "Normal" "Flying" 411 76 65 45 92 42 91 4 FALSE
"491" 442 "Spiritomb" "Ghost" "Dark" 485 50 92 108 92 108 35 4 FALSE
"492" 443 "Gible" "Dragon" "Ground" 300 58 70 45 40 45 42 4 FALSE
"493" 444 "Gabite" "Dragon" "Ground" 410 68 90 65 50 55 82 4 FALSE
"494" 445 "Garchomp" "Dragon" "Ground" 600 108 130 95 80 85 102 4 FALSE
"495" 445 "GarchompMega Garchomp" "Dragon" "Ground" 700 108 170 115 120 95 92 4 FALSE
"496" 446 "Munchlax" "Normal" NA 390 135 85 40 40 85 5 4 FALSE
"497" 447 "Riolu" "Fighting" NA 285 40 70 40 35 40 60 4 FALSE
"498" 448 "Lucario" "Fighting" "Steel" 525 70 110 70 115 70 90 4 FALSE
"499" 448 "LucarioMega Lucario" "Fighting" "Steel" 625 70 145 88 140 70 112 4 FALSE
"500" 449 "Hippopotas" "Ground" NA 330 68 72 78 38 42 32 4 FALSE
"501" 450 "Hippowdon" "Ground" NA 525 108 112 118 68 72 47 4 FALSE
"502" 451 "Skorupi" "Poison" "Bug" 330 40 50 90 30 55 65 4 FALSE
"503" 452 "Drapion" "Poison" "Dark" 500 70 90 110 60 75 95 4 FALSE
"504" 453 "Croagunk" "Poison" "Fighting" 300 48 61 40 61 40 50 4 FALSE
"505" 454 "Toxicroak" "Poison" "Fighting" 490 83 106 65 86 65 85 4 FALSE
"506" 455 "Carnivine" "Grass" NA 454 74 100 72 90 72 46 4 FALSE
"507" 456 "Finneon" "Water" NA 330 49 49 56 49 61 66 4 FALSE
"508" 457 "Lumineon" "Water" NA 460 69 69 76 69 86 91 4 FALSE
"509" 458 "Mantyke" "Water" "Flying" 345 45 20 50 60 120 50 4 FALSE
"510" 459 "Snover" "Grass" "Ice" 334 60 62 50 62 60 40 4 FALSE
"511" 460 "Abomasnow" "Grass" "Ice" 494 90 92 75 92 85 60 4 FALSE
"512" 460 "AbomasnowMega Abomasnow" "Grass" "Ice" 594 90 132 105 132 105 30 4 FALSE
"513" 461 "Weavile" "Dark" "Ice" 510 70 120 65 45 85 125 4 FALSE
"514" 462 "Magnezone" "Electric" "Steel" 535 70 70 115 130 90 60 4 FALSE
"515" 463 "Lickilicky" "Normal" NA 515 110 85 95 80 95 50 4 FALSE
"516" 464 "Rhyperior" "Ground" "Rock" 535 115 140 130 55 55 40 4 FALSE
"517" 465 "Tangrowth" "Grass" NA 535 100 100 125 110 50 50 4 FALSE
"518" 466 "Electivire" "Electric" NA 540 75 123 67 95 85 95 4 FALSE
"519" 467 "Magmortar" "Fire" NA 540 75 95 67 125 95 83 4 FALSE
"520" 468 "Togekiss" "Fairy" "Flying" 545 85 50 95 120 115 80 4 FALSE
"521" 469 "Yanmega" "Bug" "Flying" 515 86 76 86 116 56 95 4 FALSE
"522" 470 "Leafeon" "Grass" NA 525 65 110 130 60 65 95 4 FALSE
"523" 471 "Glaceon" "Ice" NA 525 65 60 110 130 95 65 4 FALSE
"524" 472 "Gliscor" "Ground" "Flying" 510 75 95 125 45 75 95 4 FALSE
"525" 473 "Mamoswine" "Ice" "Ground" 530 110 130 80 70 60 80 4 FALSE
"526" 474 "Porygon-Z" "Normal" NA 535 85 80 70 135 75 90 4 FALSE
"527" 475 "Gallade" "Psychic" "Fighting" 518 68 125 65 65 115 80 4 FALSE
"528" 475 "GalladeMega Gallade" "Psychic" "Fighting" 618 68 165 95 65 115 110 4 FALSE
"529" 476 "Probopass" "Rock" "Steel" 525 60 55 145 75 150 40 4 FALSE
"530" 477 "Dusknoir" "Ghost" NA 525 45 100 135 65 135 45 4 FALSE
"531" 478 "Froslass" "Ice" "Ghost" 480 70 80 70 80 70 110 4 FALSE
"532" 479 "Rotom" "Electric" "Ghost" 440 50 50 77 95 77 91 4 FALSE
"533" 479 "RotomHeat Rotom" "Electric" "Fire" 520 50 65 107 105 107 86 4 FALSE
"534" 479 "RotomWash Rotom" "Electric" "Water" 520 50 65 107 105 107 86 4 FALSE
"535" 479 "RotomFrost Rotom" "Electric" "Ice" 520 50 65 107 105 107 86 4 FALSE
"536" 479 "RotomFan Rotom" "Electric" "Flying" 520 50 65 107 105 107 86 4 FALSE
"537" 479 "RotomMow Rotom" "Electric" "Grass" 520 50 65 107 105 107 86 4 FALSE
"538" 480 "Uxie" "Psychic" NA 580 75 75 130 75 130 95 4 TRUE
"539" 481 "Mesprit" "Psychic" NA 580 80 105 105 105 105 80 4 TRUE
"540" 482 "Azelf" "Psychic" NA 580 75 125 70 125 70 115 4 TRUE
"541" 483 "Dialga" "Steel" "Dragon" 680 100 120 120 150 100 90 4 TRUE
"542" 484 "Palkia" "Water" "Dragon" 680 90 120 100 150 120 100 4 TRUE
"543" 485 "Heatran" "Fire" "Steel" 600 91 90 106 130 106 77 4 TRUE
"544" 486 "Regigigas" "Normal" NA 670 110 160 110 80 110 100 4 TRUE
"545" 487 "GiratinaAltered Forme" "Ghost" "Dragon" 680 150 100 120 100 120 90 4 TRUE
"546" 487 "GiratinaOrigin Forme" "Ghost" "Dragon" 680 150 120 100 120 100 90 4 TRUE
"547" 488 "Cresselia" "Psychic" NA 600 120 70 120 75 130 85 4 FALSE
"548" 489 "Phione" "Water" NA 480 80 80 80 80 80 80 4 FALSE
"549" 490 "Manaphy" "Water" NA 600 100 100 100 100 100 100 4 FALSE
"550" 491 "Darkrai" "Dark" NA 600 70 90 90 135 90 125 4 TRUE
"551" 492 "ShayminLand Forme" "Grass" NA 600 100 100 100 100 100 100 4 TRUE
"552" 492 "ShayminSky Forme" "Grass" "Flying" 600 100 103 75 120 75 127 4 TRUE
"553" 493 "Arceus" "Normal" NA 720 120 120 120 120 120 120 4 TRUE
"554" 494 "Victini" "Psychic" "Fire" 600 100 100 100 100 100 100 5 TRUE
"555" 495 "Snivy" "Grass" NA 308 45 45 55 45 55 63 5 FALSE
"556" 496 "Servine" "Grass" NA 413 60 60 75 60 75 83 5 FALSE
"557" 497 "Serperior" "Grass" NA 528 75 75 95 75 95 113 5 FALSE
"558" 498 "Tepig" "Fire" NA 308 65 63 45 45 45 45 5 FALSE
"559" 499 "Pignite" "Fire" "Fighting" 418 90 93 55 70 55 55 5 FALSE
"560" 500 "Emboar" "Fire" "Fighting" 528 110 123 65 100 65 65 5 FALSE
"561" 501 "Oshawott" "Water" NA 308 55 55 45 63 45 45 5 FALSE
"562" 502 "Dewott" "Water" NA 413 75 75 60 83 60 60 5 FALSE
"563" 503 "Samurott" "Water" NA 528 95 100 85 108 70 70 5 FALSE
"564" 504 "Patrat" "Normal" NA 255 45 55 39 35 39 42 5 FALSE
"565" 505 "Watchog" "Normal" NA 420 60 85 69 60 69 77 5 FALSE
"566" 506 "Lillipup" "Normal" NA 275 45 60 45 25 45 55 5 FALSE
"567" 507 "Herdier" "Normal" NA 370 65 80 65 35 65 60 5 FALSE
"568" 508 "Stoutland" "Normal" NA 500 85 110 90 45 90 80 5 FALSE
"569" 509 "Purrloin" "Dark" NA 281 41 50 37 50 37 66 5 FALSE
"570" 510 "Liepard" "Dark" NA 446 64 88 50 88 50 106 5 FALSE
"571" 511 "Pansage" "Grass" NA 316 50 53 48 53 48 64 5 FALSE
"572" 512 "Simisage" "Grass" NA 498 75 98 63 98 63 101 5 FALSE
"573" 513 "Pansear" "Fire" NA 316 50 53 48 53 48 64 5 FALSE
"574" 514 "Simisear" "Fire" NA 498 75 98 63 98 63 101 5 FALSE
"575" 515 "Panpour" "Water" NA 316 50 53 48 53 48 64 5 FALSE
"576" 516 "Simipour" "Water" NA 498 75 98 63 98 63 101 5 FALSE
"577" 517 "Munna" "Psychic" NA 292 76 25 45 67 55 24 5 FALSE
"578" 518 "Musharna" "Psychic" NA 487 116 55 85 107 95 29 5 FALSE
"579" 519 "Pidove" "Normal" "Flying" 264 50 55 50 36 30 43 5 FALSE
"580" 520 "Tranquill" "Normal" "Flying" 358 62 77 62 50 42 65 5 FALSE
"581" 521 "Unfezant" "Normal" "Flying" 488 80 115 80 65 55 93 5 FALSE
"582" 522 "Blitzle" "Electric" NA 295 45 60 32 50 32 76 5 FALSE
"583" 523 "Zebstrika" "Electric" NA 497 75 100 63 80 63 116 5 FALSE
"584" 524 "Roggenrola" "Rock" NA 280 55 75 85 25 25 15 5 FALSE
"585" 525 "Boldore" "Rock" NA 390 70 105 105 50 40 20 5 FALSE
"586" 526 "Gigalith" "Rock" NA 515 85 135 130 60 80 25 5 FALSE
"587" 527 "Woobat" "Psychic" "Flying" 313 55 45 43 55 43 72 5 FALSE
"588" 528 "Swoobat" "Psychic" "Flying" 425 67 57 55 77 55 114 5 FALSE
"589" 529 "Drilbur" "Ground" NA 328 60 85 40 30 45 68 5 FALSE
"590" 530 "Excadrill" "Ground" "Steel" 508 110 135 60 50 65 88 5 FALSE
"591" 531 "Audino" "Normal" NA 445 103 60 86 60 86 50 5 FALSE
"592" 531 "AudinoMega Audino" "Normal" "Fairy" 545 103 60 126 80 126 50 5 FALSE
"593" 532 "Timburr" "Fighting" NA 305 75 80 55 25 35 35 5 FALSE
"594" 533 "Gurdurr" "Fighting" NA 405 85 105 85 40 50 40 5 FALSE
"595" 534 "Conkeldurr" "Fighting" NA 505 105 140 95 55 65 45 5 FALSE
"596" 535 "Tympole" "Water" NA 294 50 50 40 50 40 64 5 FALSE
"597" 536 "Palpitoad" "Water" "Ground" 384 75 65 55 65 55 69 5 FALSE
"598" 537 "Seismitoad" "Water" "Ground" 509 105 95 75 85 75 74 5 FALSE
"599" 538 "Throh" "Fighting" NA 465 120 100 85 30 85 45 5 FALSE
"600" 539 "Sawk" "Fighting" NA 465 75 125 75 30 75 85 5 FALSE
"601" 540 "Sewaddle" "Bug" "Grass" 310 45 53 70 40 60 42 5 FALSE
"602" 541 "Swadloon" "Bug" "Grass" 380 55 63 90 50 80 42 5 FALSE
"603" 542 "Leavanny" "Bug" "Grass" 500 75 103 80 70 80 92 5 FALSE
"604" 543 "Venipede" "Bug" "Poison" 260 30 45 59 30 39 57 5 FALSE
"605" 544 "Whirlipede" "Bug" "Poison" 360 40 55 99 40 79 47 5 FALSE
"606" 545 "Scolipede" "Bug" "Poison" 485 60 100 89 55 69 112 5 FALSE
"607" 546 "Cottonee" "Grass" "Fairy" 280 40 27 60 37 50 66 5 FALSE
"608" 547 "Whimsicott" "Grass" "Fairy" 480 60 67 85 77 75 116 5 FALSE
"609" 548 "Petilil" "Grass" NA 280 45 35 50 70 50 30 5 FALSE
"610" 549 "Lilligant" "Grass" NA 480 70 60 75 110 75 90 5 FALSE
"611" 550 "Basculin" "Water" NA 460 70 92 65 80 55 98 5 FALSE
"612" 551 "Sandile" "Ground" "Dark" 292 50 72 35 35 35 65 5 FALSE
"613" 552 "Krokorok" "Ground" "Dark" 351 60 82 45 45 45 74 5 FALSE
"614" 553 "Krookodile" "Ground" "Dark" 519 95 117 80 65 70 92 5 FALSE
"615" 554 "Darumaka" "Fire" NA 315 70 90 45 15 45 50 5 FALSE
"616" 555 "DarmanitanStandard Mode" "Fire" NA 480 105 140 55 30 55 95 5 FALSE
"617" 555 "DarmanitanZen Mode" "Fire" "Psychic" 540 105 30 105 140 105 55 5 FALSE
"618" 556 "Maractus" "Grass" NA 461 75 86 67 106 67 60 5 FALSE
"619" 557 "Dwebble" "Bug" "Rock" 325 50 65 85 35 35 55 5 FALSE
"620" 558 "Crustle" "Bug" "Rock" 475 70 95 125 65 75 45 5 FALSE
"621" 559 "Scraggy" "Dark" "Fighting" 348 50 75 70 35 70 48 5 FALSE
"622" 560 "Scrafty" "Dark" "Fighting" 488 65 90 115 45 115 58 5 FALSE
"623" 561 "Sigilyph" "Psychic" "Flying" 490 72 58 80 103 80 97 5 FALSE
"624" 562 "Yamask" "Ghost" NA 303 38 30 85 55 65 30 5 FALSE
"625" 563 "Cofagrigus" "Ghost" NA 483 58 50 145 95 105 30 5 FALSE
"626" 564 "Tirtouga" "Water" "Rock" 355 54 78 103 53 45 22 5 FALSE
"627" 565 "Carracosta" "Water" "Rock" 495 74 108 133 83 65 32 5 FALSE
"628" 566 "Archen" "Rock" "Flying" 401 55 112 45 74 45 70 5 FALSE
"629" 567 "Archeops" "Rock" "Flying" 567 75 140 65 112 65 110 5 FALSE
"630" 568 "Trubbish" "Poison" NA 329 50 50 62 40 62 65 5 FALSE
"631" 569 "Garbodor" "Poison" NA 474 80 95 82 60 82 75 5 FALSE
